iter	Passed	Remaining
0	105	158056
1	188	141129
2	266	132934
3	343	128382
4	419	125400
5	489	121995
6	570	121577
7	654	122143
8	726	120396
9	802	119519
10	876	118673
11	956	118597
12	1035	118438
13	1111	118013
14	1188	117672
15	1296	120286
16	1392	121452
17	1458	120056
18	1524	118809
19	1590	117712
20	1664	117258
21	1739	116875
22	1814	116508
23	1884	115874
24	1957	115518
25	2033	115293
26	2102	114682
27	2178	114511
28	2253	114282
29	2319	113670
30	2412	114309
31	2527	115944
32	2607	115906
33	2685	115776
34	2764	115710
35	2838	115412
36	2912	115158
37	3043	117090
38	3212	120342
39	3288	120028
40	3356	119457
41	3452	119860
42	3532	119677
43	3617	119701
44	3690	119317
45	3763	118952
46	3832	118487
47	3949	119486
48	4145	122757
49	4273	123936
50	4400	125024
51	4473	124569
52	4559	124484
53	4636	124164
54	4704	123591
55	4779	123253
56	4863	123124
57	4998	124272
58	5075	123955
59	5147	123542
60	5222	123193
61	5290	122703
62	5381	122758
63	5455	122413
64	5528	122050
65	5594	121549
66	5663	121139
67	5749	121085
68	5829	120891
69	5916	120865
70	5995	120678
71	6082	120644
72	6154	120314
73	6233	120130
74	6313	119952
75	6386	119671
76	6461	119416
77	6542	119267
78	6615	118989
79	6685	118673
80	6756	118364
81	6819	117923
82	6881	117487
83	6944	117060
84	7014	116776
85	7087	116536
86	7150	116139
87	7217	115806
88	7279	115413
89	7352	115196
90	7425	114970
91	7498	114767
92	7573	114573
93	7640	114284
94	7706	113970
95	7774	113700
96	7840	113403
97	7904	113076
98	7977	112900
99	8048	112674
100	8117	112433
101	8193	112295
102	8265	112107
103	8338	111924
104	8423	111912
105	8494	111709
106	8560	111450
107	8632	111264
108	8702	111061
109	8770	110833
110	8850	110756
111	8923	110590
112	8992	110373
113	9059	110146
114	9133	109993
115	9231	110146
116	9308	110034
117	9380	109867
118	9448	109647
119	9524	109528
120	9595	109357
121	9683	109371
122	9754	109205
123	9829	109074
124	10052	110576
125	10157	110764
126	10241	110718
127	10332	110754
128	10460	111171
129	10557	111263
130	10647	111271
131	10760	111516
132	10884	111871
133	11000	112140
134	11092	112157
135	11229	112623
136	11371	113137
137	11458	113085
138	11562	113211
139	11643	113109
140	11718	112949
141	11801	112858
142	12079	114629
143	12298	115809
144	12398	115860
145	12468	115631
146	12545	115468
147	12636	115437
148	12724	115371
149	12854	115686
150	12947	115667
151	13022	115487
152	13102	115357
153	13172	115134
154	13241	114904
155	13357	115081
156	13447	115031
157	13564	115209
158	13656	115175
159	13728	114976
160	13807	114833
161	14021	115804
162	14118	115803
163	14224	115874
164	14321	115871
165	14424	115917
166	14521	115911
167	14613	115861
168	14716	115906
169	14799	115780
170	14879	115639
171	14955	115471
172	15026	115261
173	15095	115041
174	15168	114844
175	15239	114642
176	15308	114426
177	15379	114222
178	15449	114015
179	15544	113996
180	15621	113839
181	15694	113658
182	15779	113562
183	15848	113349
184	15915	113132
185	15981	112901
186	16047	112674
187	16122	112511
188	16188	112292
189	16260	112112
190	16324	111876
191	16386	111633
192	16454	111427
193	16521	111223
194	16583	110978
195	16674	110934
196	16755	110825
197	16826	110644
198	16896	110463
199	16974	110334
200	17043	110144
201	17119	110006
202	17181	109777
203	17254	109614
204	17328	109465
205	17400	109300
206	17465	109097
207	17535	108923
208	17607	108762
209	17672	108556
210	17737	108356
211	17799	108140
212	17871	107984
213	17935	107778
214	18002	107598
215	18075	107448
216	18144	107281
217	18219	107145
218	18285	106958
219	18352	106778
220	18421	106612
221	18495	106475
222	18568	106330
223	18639	106179
224	18714	106046
225	18786	105902
226	18860	105769
227	18929	105604
228	18995	105426
229	19066	105282
230	19137	105131
231	19206	104975
232	19300	104954
233	19370	104801
234	19447	104686
235	19518	104541
236	19588	104390
237	19658	104241
238	19730	104101
239	19799	103944
240	19857	103735
241	19926	103584
242	19996	103436
243	20061	103266
244	20124	103086
245	20197	102958
246	20267	102816
247	20329	102631
248	20392	102456
249	20464	102323
250	20552	102271
251	20647	102253
252	20748	102266
253	20829	102181
254	20897	102031
255	20967	101890
256	21037	101747
257	21111	101627
258	21180	101485
259	21258	101384
260	21340	101306
261	21412	101178
262	21493	101092
263	21582	101045
264	21648	100889
265	21711	100722
266	21778	100572
267	21842	100412
268	21914	100283
269	21997	100212
270	22061	100050
271	22126	99893
272	22186	99719
273	22251	99564
274	22317	99414
275	22381	99256
276	22449	99118
277	22511	98954
278	22579	98814
279	22651	98693
280	22725	98586
281	22793	98449
282	22868	98343
283	22944	98242
284	23022	98149
285	23089	98009
286	23156	97872
287	23226	97746
288	23304	97652
289	23390	97593
290	23452	97434
291	23527	97331
292	23592	97189
293	23655	97035
294	23727	96918
295	23792	96775
296	23853	96619
297	23920	96482
298	23985	96341
299	24047	96191
300	24115	96063
301	24197	95987
302	24270	95878
303	24341	95764
304	24410	95641
305	24481	95525
306	24565	95459
307	24627	95310
