iter	Passed	Remaining
0	412	618928
1	677	507744
2	935	466788
3	1176	439941
4	1430	427632
5	1777	442609
6	2085	444780
7	2401	447911
8	2642	437692
9	2941	438228
10	3239	438574
11	3531	437884
12	3769	431214
13	4016	426360
14	4308	426535
15	4544	421489
16	4775	416586
17	5009	412449
18	5294	412678
19	5525	408864
20	5755	405323
21	5993	402643
22	6278	403187
23	6510	400374
24	6788	400544
25	7093	402138
26	7366	401857
27	7656	402520
28	7950	403297
29	8251	404343
30	8543	404865
31	8772	402456
32	9062	402850
33	9290	400576
34	9587	401303
35	9893	402332
36	10123	400291
37	10401	400170
38	10677	400001
39	10903	397970
40	11146	396669
41	11452	397569
42	11723	397249
43	12022	397845
44	12269	396723
45	12557	396918
46	12827	396571
47	13074	395494
48	13312	394208
49	13582	393894
50	13826	392846
51	14085	392216
52	14372	392408
53	14659	392547
54	14936	392424
55	15219	392447
56	15515	392790
57	15812	393120
58	16058	392217
59	16318	391653
60	16592	391415
61	16877	391438
62	17158	391382
63	17454	391641
64	17740	391656
65	17965	390336
66	18256	390468
67	18541	390463
68	18775	389382
69	19045	389074
70	19300	388449
71	19538	387513
72	19837	387780
73	20117	387672
74	20400	387618
75	20691	387700
76	20978	387685
77	21279	387947
78	21564	387889
79	21830	387499
80	22067	386582
81	22352	386530
82	22636	386449
83	22916	386310
84	23179	385866
85	23454	385642
86	23741	385602
87	24025	385494
88	24290	385094
89	24561	384798
90	24856	384871
91	25153	384953
92	25420	384590
93	25658	383786
94	25963	383980
95	26246	383858
96	26547	383987
97	26824	383761
98	27061	382960
99	27286	382004
100	27577	381990
101	27839	381564
102	28089	380987
103	28321	380160
104	28605	380048
105	28858	379510
106	29084	378641
107	29393	378844
108	29628	378097
109	29865	377390
110	30141	377172
111	30381	376513
112	30625	375903
113	30859	375190
114	31100	374563
115	31328	373779
116	31592	373441
117	31813	372595
118	32061	372072
119	32335	371852
120	32610	371646
121	32866	371232
122	33147	371085
123	33433	371008
124	33703	370742
125	33993	370694
126	34233	370102
127	34468	369454
128	34704	368840
129	34984	368678
130	35293	368827
131	35524	368164
132	35786	367824
133	36025	367243
134	36250	366528
135	36476	365835
136	36715	365276
137	36948	364664
138	37202	364262
139	37484	364137
140	37767	364017
141	38003	363437
142	38247	362948
143	38520	362733
144	38808	362663
145	39041	362068
146	39334	362035
147	39576	361536
148	39848	361310
149	40084	360756
150	40360	360568
151	40583	359909
152	40850	359647
153	41152	359683
154	41396	359211
155	41625	358622
156	41897	358399
157	42178	358254
158	42473	358215
159	42753	358057
160	42993	357568
161	43206	356855
162	43493	356749
163	43794	356766
164	44066	356538
165	44338	356309
166	44593	355943
167	44865	355719
168	45158	355660
169	45429	355418
170	45697	355158
171	45953	354805
172	46230	354612
173	46500	354367
174	46765	354081
175	47050	353945
176	47274	353357
177	47565	353265
178	47806	352808
179	48127	352933
180	48378	352548
181	48616	352070
182	48903	351944
183	49147	351511
184	49445	351460
185	49727	351301
186	50003	351091
187	50265	350792
188	50501	350303
189	50763	350001
190	51040	349803
191	51314	349583
192	51611	349515
193	51868	349177
194	52095	348637
195	52375	348454
196	52650	348244
197	52877	347711
198	53170	347610
199	53439	347358
200	53696	347024
201	53997	346976
202	54302	346946
203	54574	346710
204	54793	346136
205	55056	345842
206	55325	345584
207	55625	345522
208	55923	345441
209	56148	344909
210	56448	344845
211	56730	344663
212	56998	344396
213	57298	344327
214	57571	344087
215	57848	343877
216	58101	343522
217	58427	343595
218	58736	343565
219	59105	343887
220	59403	343790
221	59694	343646
222	59943	343264
223	60216	343019
224	60475	342695
225	60745	342430
226	61055	342393
227	61330	342159
228	61615	341979
229	61894	341762
230	62152	341434
231	62387	340981
232	62651	340683
233	62911	340367
234	63175	340072
235	63435	339754
236	63704	339489
237	63986	339291
238	64228	338880
239	64519	338725
240	64744	338227
241	64977	337776
242	65236	337457
243	65496	337146
244	65772	336913
245	66054	336715
246	66305	336358
247	66521	335825
248	66742	335323
249	66964	334822
250	67191	334350
251	67498	334277
252	67747	333917
253	67981	333483
254	68248	333212
255	68538	333054
256	68781	332667
257	69050	332404
258	69324	332169
259	69595	331919
260	69833	331509
261	70105	331259
262	70379	331026
263	70661	330824
264	70931	330567
265	71222	330409
266	71458	329993
267	71699	329602
268	71978	329388
269	72240	329093
270	72500	328795
271	72793	328643
272	73096	328534
273	73377	328326
274	73647	328066
275	73924	327836
276	74166	327454
277	74430	327172
278	74688	326863
279	74958	326605
280	75187	326169
281	75428	325786
282	75680	325450
283	75967	325270
284	76244	325044
285	76504	324741
286	76784	324528
287	77049	324250
288	77368	324196
289	77639	323945
290	77867	323510
291	78143	323278
